date,kickoff,status,league,home_team,away_team,odd_1,odd_x,odd_2,score,match_url
2026-09-15,19:00,upcoming,Argentina: Primera C,Claypole,Sacachispas,3.10,2.85,2.25,,https://www.betexplorer.com/football/argentina/primera-c/claypole-sacachispas/bkFjOJal/
2026-09-15,19:00,upcoming,Argentina: Reserve League,Aldosivi 2,Velez Sarsfield 2,3.65,3.30,1.91,,https://www.betexplorer.com/football/argentina/reserve-league/aldosivi-velez-sarsfield/8A01UzDk/
2026-09-15,19:00,upcoming,Argentina: Reserve League,Argentinos Jrs 2,River Plate 2,4.00,3.55,1.76,,https://www.betexplorer.com/football/argentina/reserve-league/argentinos-jrs-river-plate/rsdejIZ8/
2026-09-15,19:00,upcoming,Argentina: Reserve League,Defensa y Justicia 2,Central Cordoba 2,1.75,3.70,3.90,,https://www.betexplorer.com/football/argentina/reserve-league/defensa-y-justicia-central-cordoba-santiago-del-estero/6NLTFybd/
2026-09-15,19:00,upcoming,Argentina: Reserve League,Independiente 2,Colon Santa Fe 2,1.48,3.95,5.80,,https://www.betexplorer.com/football/argentina/reserve-league/independiente-colon-santa-fe/Iqb9NSa5/
2026-09-15,19:00,upcoming,Argentina: Reserve League,Sarmiento Junin 2,Racing Club 2,2.65,3.20,2.44,,https://www.betexplorer.com/football/argentina/reserve-league/sarmiento-junin-racing-club/Sdtkz6qB/
2026-09-15,19:00,upcoming,England: EFL Trophy,Chesterfield,Manchester City U21,2.25,3.90,2.53,,https://www.betexplorer.com/football/england/efl-trophy/chesterfield-manchester-city/ljP4nbdT/
2026-09-15,19:00,upcoming,England: EFL Trophy,Leyton Orient,Arsenal U21,1.24,5.95,8.60,,https://www.betexplorer.com/football/england/efl-trophy/leyton-orient-arsenal/tGjJUslA/
2026-09-15,19:00,upcoming,England: EFL Trophy,Swindon,Crystal Palace U21,1.94,3.83,3.15,,https://www.betexplorer.com/football/england/efl-trophy/swindon-crystal-palace/lMTTWCDt/
2026-09-15,19:00,upcoming,England: EFL Trophy,Wycombe,Chelsea U21,1.37,5.68,5.40,,https://www.betexplorer.com/football/england/efl-trophy/wycombe-chelsea/QoFikFU0/
2026-09-14,01:30,finished,Argentina: Liga Profesional,Huracan,Racing Club,,,,2:1,https://www.betexplorer.com/football/argentina/liga-profesional/huracan-racing-club/hv7E1MHa/
2026-09-14,23:00,finished,Argentina: Liga Profesional,Banfield,Barracas Central,,,,1:1,https://www.betexplorer.com/football/argentina/liga-profesional/banfield-barracas-central/CrvuIs2t/
2026-09-14,19:30,finished,Argentina: Primera Nacional,Def. de Belgrano,Deportivo Madryn,,,,2:1,https://www.betexplorer.com/football/argentina/primera-nacional/defensores-de-belgrano-deportivo-madryn/pf3JwpRb/
2026-09-14,19:00,finished,Argentina: Primera C,Fenix,CSR Espanol,,,,1:1,https://www.betexplorer.com/football/argentina/primera-c/fenix-csr-espanol/UBIFM6Oq/
2026-09-14,14:45,finished,Asia: AFC Champions League,Neftchi Fargona,Al Quwa Al Jawiya,,,,1:0,https://www.betexplorer.com/football/asia/afc-champions-league/neftchi-fargona-al-quwa-al-jawiya/riNKwxy1/
2026-09-14,17:00,finished,Asia: AFC Champions League,Shabab Al-Ahli Dubai,Tractor,,,,1:0,https://www.betexplorer.com/football/asia/afc-champions-league/shabab-al-ahli-dubai-tractor/rBDEaJcK/
2026-09-14,17:00,finished,Asia: AFC Champions League,Shamal,Al Ittihad,,,,1:1,https://www.betexplorer.com/football/asia/afc-champions-league/shamal-al-ittihad/G4LSyG5D/
2026-09-14,19:15,finished,Asia: AFC Champions League,Al Ahli SC,Pakhtakor,,,,1:1,https://www.betexplorer.com/football/asia/afc-champions-league/al-ahli-sc-pakhtakor/n72hhyjf/
2026-09-14,19:15,finished,Asia: AFC Champions League,Al Qadsiah,Al Wasl,,,,2:1,https://www.betexplorer.com/football/asia/afc-champions-league/al-qadsiah-al-wasl/Eg4pfcLs/
2026-09-14,19:15,finished,Asia: AFC Champions League,Esteghlal F.C.,Al-Sadd,,,,3:0,https://www.betexplorer.com/football/asia/afc-champions-league/esteghlal-teh-al-sadd/xfKCub6l/
2026-09-14,12:30,finished,Asia: ASEAN Club Championship,Shan Utd,Ezra,,,,2:0AfP,https://www.betexplorer.com/football/asia/asean-club-championship/shan-united-ezra/6XvSfU5M/
2026-09-14,06:00,finished,Asia: Asian Games Women,Philippines W,Uzbekistan W,,,,1:1,https://www.betexplorer.com/football/asia/asian-games-women/philippines-uzbekistan/KjLbreP6/
2026-09-14,08:00,finished,Asia: Asian Games Women,Chinese Taipei W,Vietnam W,,,,2:1,https://www.betexplorer.com/football/asia/asian-games-women/chinese-taipei-vietnam/CQyYq80B/
2026-09-14,08:00,finished,Asia: Asian Games Women,North Korea W,Bangladesh W,,,,10:0,https://www.betexplorer.com/football/asia/asian-games-women/north-korea-bangladesh/SGO6tZgJ/
2026-09-14,11:00,finished,Asia: Asian Games Women,China W,Hong Kong W,,,,5:1,https://www.betexplorer.com/football/asia/asian-games-women/china-hong-kong/CQHjpHff/
2026-09-14,11:30,finished,Asia: Asian Games Women,Japan W,Thailand W,,,,8:0,https://www.betexplorer.com/football/asia/asian-games-women/japan-thailand/IqzImj1n/
2026-09-14,11:30,finished,Asia: Asian Games Women,South Korea W,Myanmar W,,,,5:0,https://www.betexplorer.com/football/asia/asian-games-women/south-korea-myanmar/40YPoUVb/
2026-09-14,17:00,finished,Bolivia: Copa Simon Bolivar,Ingenieros,Hiska Nacional,,,,2:2,https://www.betexplorer.com/football/bolivia/copa-simon-bolivar/ingenieros-hiska-nacional/6ZVLpJx8/
2026-09-14,23:00,finished,Brazil: Goiano 2,Morrinhos,Trindade,,,,2:1,https://www.betexplorer.com/football/brazil/goiano-2/morrinhos-trindade/vNlC8txq/
2026-09-14,19:00,finished,Brazil: Brasileiro U17,Fluminense U17,Botafogo RJ U17,,,,2:0,https://www.betexplorer.com/football/brazil/brasileiro-u17/fluminense-botafogo-rj/QPcDx43b/
2026-09-14,18:30,finished,Bulgaria: efbet League,Ludogorets,Septemvri Sofia,,,,2:1,https://www.betexplorer.com/football/bulgaria/efbet-league/ludogorets-septemvri-sofia/fTJWhzq4/
2026-09-14,15:45,finished,Bulgaria: Vtora liga,Hebar,Etar,,,,4:1,https://www.betexplorer.com/football/bulgaria/vtora-liga/hebar-etar/AVj7jsO9/
2026-09-14,00:00,finished,Chile: Liga de Primera,A. Italiano,O'Higgins,,,,1:0,https://www.betexplorer.com/football/chile/liga-de-primera/a-italiano-o-higgins/hjmtAMH7/
2026-09-14,22:00,finished,Chile: Liga de Ascenso,CD Santa Cruz,Recoleta,,,,0:0,https://www.betexplorer.com/football/chile/liga-de-ascenso/deportes-santa-cruz-recoleta/fXfe9zzg/
2026-09-14,21:30,finished,Colombia: Primera B,Tigres,Bogota,,,,0:0,https://www.betexplorer.com/football/colombia/primera-b/tigres-futbol-club-bogota/8f4ejUbD/
2026-09-14,01:00,finished,Costa Rica: Primera Division,Cartagines,Alajuelense,,,,3:1,https://www.betexplorer.com/football/costa-rica/primera-division/cartagines-alajuelense/CAmYbMSE/
2026-09-14,00:00,finished,Costa Rica: Liga de Ascenso,Cariari Pococi,Carmelita,,,,1:1,https://www.betexplorer.com/football/costa-rica/liga-de-ascenso/cariari-pococi-carmelita/08aTv1K3/
2026-09-14,17:00,finished,Croatia: HNL,Gorica,Varazdin,,,,2:2,https://www.betexplorer.com/football/croatia/hnl/hnk-gorica-varazdin/nZ6JbuCa/
2026-09-14,18:00,finished,Denmark: Superliga,Midtjylland,Brondby,,,,4:1,https://www.betexplorer.com/football/denmark/superliga/midtjylland-brondby/zs2xjNnm/
2026-09-14,00:00,finished,Ecuador: Liga Pro,Barcelona SC,Delfin,,,,1:1,https://www.betexplorer.com/football/ecuador/liga-pro/barcelona-sc-delfin/UsjlelRi/
2026-09-14,18:00,finished,Egypt: Premier League,Ceramica Cleopatra,National Bank Egypt,,,,2:0,https://www.betexplorer.com/football/egypt/premier-league/ceramica-cleopatra-national-bank-egypt/6igr6thL/
2026-09-14,20:00,finished,England: Premier League,Leeds,Newcastle,,,,4:1,https://www.betexplorer.com/football/england/premier-league/leeds-newcastle-utd/Q1TGrNGq/
2026-09-14,19:00,finished,England: Premier League 2,Nottingham U21,Burnley U21,,,,1:0,https://www.betexplorer.com/football/england/premier-league-2/nottingham-burnley/C23s68LH/
2026-09-14,19:00,finished,England: Premier League 2,West Ham U21,Liverpool U21,,,,1:0,https://www.betexplorer.com/football/england/premier-league-2/west-ham-liverpool/bJ1k4njU/
2026-09-14,13:00,finished,England: Professional Development League,Swansea U21,Huddersfield U21,,,,2:0,https://www.betexplorer.com/football/england/professional-development-league/swansea-huddersfield/xGTM87Ws/
2026-09-14,14:00,finished,England: Professional Development League,Sheffield Utd U21,Cardiff U21,,,,1:1,https://www.betexplorer.com/football/england/professional-development-league/sheffield-utd-cardiff/OWRU6o1f/
2026-09-14,17:00,finished,Estonia: Esiliiga,Tartu Welco,Nomme Kalju U21,,,,3:0,https://www.betexplorer.com/football/estonia/esiliiga/tartu-jk-welco-kalju/W2h1jzRP/
2026-09-14,16:00,finished,Estonia: Esiliiga B,Johvi Phoenix,Tallinna Kalev U21,,,,4:3,https://www.betexplorer.com/football/estonia/esiliiga-b/johvi-phoenix-tallinna-kalev/0vC0Nfup/
2026-09-14,17:00,finished,Estonia: Esiliiga B,Tabasalu,Legion,,,,1:1,https://www.betexplorer.com/football/estonia/esiliiga-b/tabasalu-legion/neA8LY9d/
2026-09-14,16:00,finished,Finland: Veikkausliiga,Inter Turku,VPS,,,,1:0,https://www.betexplorer.com/football/finland/veikkausliiga/inter-turku-vps/WOw7oVyf/
2026-09-14,19:45,finished,France: Ligue 2,Red Star,Metz,,,,1:0,https://www.betexplorer.com/football/france/ligue-2/red-star-metz/WjE7Uoj3/
2026-09-14,16:00,finished,Georgia: Crystalbet Erovnuli Liga,Torpedo Kutaisi,Samgurali,,,,3:2,https://www.betexplorer.com/football/georgia/crystalbet-erovnuli-liga/torpedo-kutaisi-samgurali/OAotB1Ws/
2026-09-14,18:00,finished,Georgia: Crystalbet Erovnuli Liga,Dinamo Tbilisi,Gagra,,,,4:0,https://www.betexplorer.com/football/georgia/crystalbet-erovnuli-liga/dinamo-tbilisi-gagra/IXOEftn1/
2026-09-14,14:00,finished,Greece: Super League 2,Panionios,Kalamaria,,,,1:0,https://www.betexplorer.com/football/greece/super-league-2/panionios-apollon-kalamaria/4pMl3LQ0/
2026-09-14,15:00,finished,Greece: Super League 2,Panthrakikos,PAOK B,,,,2:0,https://www.betexplorer.com/football/greece/super-league-2/panthrakikos-paok/fHaUFbA6/
2026-09-14,00:00,finished,Guatemala: Liga Nacional,Guastatoya,Xelaju,,,,2:1,https://www.betexplorer.com/football/guatemala/liga-nacional/guastatoya-xelaju/2cFuxwbn/
2026-09-14,02:00,finished,Guatemala: Liga Nacional,Municipal,Malacateco,,,,2:2,https://www.betexplorer.com/football/guatemala/liga-nacional/municipal-malacateco/ryHeYfcB/
2026-09-14,00:15,finished,Honduras: Liga Nacional,Marathon,Olimpia,,,,1:0,https://www.betexplorer.com/football/honduras/liga-nacional/marathon-olimpia/fXiRc5XN/
2026-09-14,02:30,finished,Honduras: Liga Nacional,Atletico Independiente,Juticalpa,,,,2:1,https://www.betexplorer.com/football/honduras/liga-nacional/atletico-independiente-juticalpa/j3wchqeo/
2026-09-14,20:15,finished,Iceland: Besta deild karla,Vikingur Reykjavik,Keflavik,,,,4:1,https://www.betexplorer.com/football/iceland/besta-deild-karla/vikingur-reykjavik-keflavik/bRPKQGs3/
